attendance_id,student_id,enrollment_no,subject_id,subject_name,faculty_id,lecture_date,lecture_number,day_name,department_code,semester_no,academic_year,attendance_status
19,STU000007,2023010007,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
20,STU000007,2023010007,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
21,STU000007,2023010007,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
22,STU000008,2023010008,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
23,STU000008,2023010008,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
24,STU000008,2023010008,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,A
25,STU000009,2023010009,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
26,STU000009,2023010009,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
27,STU000009,2023010009,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
28,STU000010,2023010010,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
29,STU000010,2023010010,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
30,STU000010,2023010010,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
31,STU000011,2023010011,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,A
32,STU000011,2023010011,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
33,STU000011,2023010011,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
34,STU000012,2023010012,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
35,STU000012,2023010012,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
36,STU000012,2023010012,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
37,STU000013,2023010013,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
38,STU000013,2023010013,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,A
39,STU000013,2023010013,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
40,STU000014,2023010014,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
41,STU000014,2023010014,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
42,STU000014,2023010014,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
43,STU000015,2023010015,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
44,STU000015,2023010015,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
45,STU000015,2023010015,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,A
46,STU000016,2023010016,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
47,STU000016,2023010016,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
48,STU000016,2023010016,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
49,STU000017,2023010017,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
50,STU000017,2023010017,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
51,STU000017,2023010017,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
52,STU000018,2023010018,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,A
53,STU000018,2023010018,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
54,STU000018,2023010018,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
55,STU000019,2023010019,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
56,STU000019,2023010019,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
57,STU000019,2023010019,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
58,STU000020,2023010020,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
59,STU000020,2023010020,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
60,STU000020,2023010020,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
61,STU000021,2023010021,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
62,STU000021,2023010021,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
63,STU000021,2023010021,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
64,STU000022,2023010022,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
65,STU000022,2023010022,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
66,STU000022,2023010022,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,A
67,STU000023,2023010023,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
68,STU000023,2023010023,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
69,STU000023,2023010023,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
70,STU000024,2023010024,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
71,STU000024,2023010024,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
72,STU000024,2023010024,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
73,STU000025,2023010025,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,A
74,STU000025,2023010025,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
75,STU000025,2023010025,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
76,STU000026,2023010026,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
77,STU000026,2023010026,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
78,STU000026,2023010026,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
79,STU000027,2023010027,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
80,STU000027,2023010027,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
81,STU000027,2023010027,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
82,STU000028,2023010028,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
83,STU000028,2023010028,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
84,STU000028,2023010028,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
85,STU000029,2023010029,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
86,STU000029,2023010029,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
87,STU000029,2023010029,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
88,STU000030,2023010030,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
89,STU000030,2023010030,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,A
90,STU000030,2023010030,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
91,STU000031,2023010031,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
92,STU000031,2023010031,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
93,STU000031,2023010031,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
94,STU000032,2023010032,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
95,STU000032,2023010032,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
96,STU000032,2023010032,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
97,STU000033,2023010033,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
98,STU000033,2023010033,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
99,STU000033,2023010033,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
100,STU000034,2023010034,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
101,STU000034,2023010034,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
102,STU000034,2023010034,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
103,STU000035,2023010035,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
104,STU000035,2023010035,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
105,STU000035,2023010035,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
106,STU000036,2023010036,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,A
107,STU000036,2023010036,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
108,STU000036,2023010036,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
109,STU000037,2023010037,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
110,STU000037,2023010037,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
111,STU000037,2023010037,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
112,STU000038,2023010038,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
113,STU000038,2023010038,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
114,STU000038,2023010038,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
115,STU000039,2023010039,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
116,STU000039,2023010039,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
117,STU000039,2023010039,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
118,STU000040,2023010040,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
119,STU000040,2023010040,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
120,STU000040,2023010040,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,A
121,STU000041,2023010041,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
122,STU000041,2023010041,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
123,STU000041,2023010041,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
124,STU000042,2023010042,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
125,STU000042,2023010042,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
126,STU000042,2023010042,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
127,STU000043,2023010043,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,A
128,STU000043,2023010043,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
129,STU000043,2023010043,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
130,STU000044,2023010044,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
131,STU000044,2023010044,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
132,STU000044,2023010044,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
133,STU000045,2023010045,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
134,STU000045,2023010045,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
135,STU000045,2023010045,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
136,STU000046,2023010046,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
137,STU000046,2023010046,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
138,STU000046,2023010046,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
139,STU000047,2023010047,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
140,STU000047,2023010047,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,A
141,STU000047,2023010047,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,A
142,STU000048,2023010048,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
143,STU000048,2023010048,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
144,STU000048,2023010048,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
145,STU000049,2023010049,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,P
146,STU000049,2023010049,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
147,STU000049,2023010049,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
148,STU000050,2023010050,SUB0050,Software Engineering,FAC005,2026-06-22,1,Monday,1,7,2026-2027,A
149,STU000050,2023010050,SUB0051,Human Computer Interaction,FAC006,2026-06-22,1,Monday,1,7,2026-2027,P
150,STU000050,2023010050,SUB0053,Deep Learning,FAC008,2026-06-22,1,Monday,1,7,2026-2027,P
151,STU000001,2023010001,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
152,STU000001,2023010001,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
153,STU000002,2023010002,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
154,STU000002,2023010002,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
155,STU000003,2023010003,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
156,STU000003,2023010003,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,A
157,STU000004,2023010004,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,A
158,STU000004,2023010004,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
159,STU000005,2023010005,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
160,STU000005,2023010005,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
161,STU000006,2023010006,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
162,STU000006,2023010006,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
163,STU000007,2023010007,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
164,STU000007,2023010007,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
165,STU000008,2023010008,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
166,STU000008,2023010008,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
167,STU000009,2023010009,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
168,STU000009,2023010009,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
169,STU000010,2023010010,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
170,STU000010,2023010010,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,A
171,STU000011,2023010011,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
172,STU000011,2023010011,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
173,STU000012,2023010012,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,A
174,STU000012,2023010012,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
175,STU000013,2023010013,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
176,STU000013,2023010013,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
177,STU000014,2023010014,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
178,STU000014,2023010014,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
179,STU000015,2023010015,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
180,STU000015,2023010015,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
181,STU000016,2023010016,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
182,STU000016,2023010016,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
183,STU000017,2023010017,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
184,STU000017,2023010017,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
185,STU000018,2023010018,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
186,STU000018,2023010018,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
187,STU000019,2023010019,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
188,STU000019,2023010019,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,A
189,STU000020,2023010020,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,A
190,STU000020,2023010020,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
191,STU000021,2023010021,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
192,STU000021,2023010021,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
193,STU000022,2023010022,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
194,STU000022,2023010022,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
195,STU000023,2023010023,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
196,STU000023,2023010023,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
197,STU000024,2023010024,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
198,STU000024,2023010024,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
199,STU000025,2023010025,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
200,STU000025,2023010025,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
201,STU000026,2023010026,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
202,STU000026,2023010026,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,A
203,STU000027,2023010027,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
204,STU000027,2023010027,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
205,STU000028,2023010028,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,A
206,STU000028,2023010028,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
207,STU000029,2023010029,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
208,STU000029,2023010029,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
209,STU000030,2023010030,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
210,STU000030,2023010030,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
211,STU000031,2023010031,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
212,STU000031,2023010031,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
213,STU000032,2023010032,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
214,STU000032,2023010032,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
215,STU000033,2023010033,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
216,STU000033,2023010033,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
217,STU000034,2023010034,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
218,STU000034,2023010034,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
219,STU000035,2023010035,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
220,STU000035,2023010035,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,A
221,STU000036,2023010036,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,A
222,STU000036,2023010036,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
223,STU000037,2023010037,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
224,STU000037,2023010037,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
225,STU000038,2023010038,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
226,STU000038,2023010038,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
227,STU000039,2023010039,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
228,STU000039,2023010039,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
229,STU000040,2023010040,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
230,STU000040,2023010040,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
231,STU000041,2023010041,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
232,STU000041,2023010041,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,P
233,STU000042,2023010042,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-23,1,Tuesday,1,7,2026-2027,P
234,STU000042,2023010042,SUB0054,Natural Language Processing,FAC009,2026-06-23,1,Tuesday,1,7,2026-2027,A
